id,difficulty,topic,question,answerid,type,keywords,followup
1001,E,OOP,What is an Object? ,5001,subjective,,9999
1002,M,OOP,Define Destructor? ,5002,subjective,method,9002
1003,M,OOP,What is an Inline function?,5003,subjective,compiler,9001
1004,H,OOP,What is a friend function? ,5004,subjective,,9999
1005,E,OOP,What is function overloading? ,"5005, 5016",subjective,tasks,9003
1006,H,OOP,What is the super keyword?,5006,subjective,override,9004
1007,E,OOP,How many arguments can a ternary operator take?,5007,subjective,,9999
1008,M,OOP,What is ‘self’ pointer?,5008,subjective,"current, object",9005
1009,H,OOP,What is the default access modifier in a class?,5009,subjective,,9999
1010,M,OOP,What is a sub class and a super class?,5010,subjective,,9999
1011,H,OOP,Which OOPS concept exposes only the necessary information to the calling functions?,5011,subjective,,9999
1012,M,OOP,What is a class?,"5012, 5014",subjective,attributes,9006
1013,M,OOP,What is Single Inheritance?,5013,subjective,,9999
1101,E,EH,What is the minimum number of except statements a try-catch block should have?,5101,subjective,,9999
1102,H,EH,When will the else part of try-except-else be executed?,5102,subjective,,9999
1103,M,EH,Can one block of except statements handle multiple exception?,5103,subjective,,9999
1104,E,EH,When is the finally block executed?,5104,subjective,,9999
1105,E,EH,What happens when ‘1’ == 1 is executed?,5105,subjective,,9999
1106,H,EH,What is exception in Python?,5106,subjective,run time,9007
1107,M,EH,What Is an Error in Python?,5107,subjective,,9999
1108,M,EH,How to catch exceptions in Python?,5108,subjective,,9999
1201,M,NW,What is a socket?,"5201, 5202",subjective,data,9008
1202,E,NW,What are the layers of OSI model?,"5203, 5211",subjective,,9999
1203,H,NW,What does a socket consist of?,5204,subjective,,9999
1204,M,NW,What Is Encapsulation Technique?,5205,subjective,class,9009
1205,H,NW,What is multiprogramming?,5206,subjective,,9999
1206,M,NW,What is .recv() function used for?,5207,subjective,TCP,9010
1207,E,NW,How does a race condition occur?,5208,subjective,,9999
1208,H,NW,What are RAW sockets?,5209,subjective,transport provider,9011
1209,E,NW,What is the difference between UDP and TCP?,"5210, 5212",subjective,,9999
1301,E,DJ,Which architectural pattern does Django follow?,"5301, 5302, 5303",subjective,,9999
1302,E,DJ,Is Django a high-level web framework or low-level framework?,"5304, 5305, 5306",subjective,,9999
1303,M,DJ,What are the three main components of Django?,"5307, 5308",subjective,,9999
1304,M,DJ,Give three advantages of Django.,5309,mcq,,9999
1305,M,DJ,Give three disadvantages of Django.,5310,mcq,,9999
1306,H,DJ,What is the use of admin.py in Django?,"5311, 5312, 5313",subjective,,9999
1307,H,DJ,What are the signals in Django?,"5314, 5315, 5316",subjective,"events, actions",9012
1308,H,DJ,What are the two important parameters in signals?,5317,subjective,,9999
1309,M,DJ,What are some Django Exception Classes?,5318,subjective,,9999
1310,M,DJ,What is a Django Session?,"5319, 5320",subjective,server,9013
1311,H,DJ,What is Django Rest Framework (DRF)?,5321,subjective,,9999
1312,H,DJ,What is Django ORM?,5322,subjective,,9999
1313,E,DJ,What port does Django server works on?,5323,subjective,,9999
1314,M,DJ,What templating does Django use?,5324,subjective,,9999
1401,E,ML,Which learning technique uses labeled data?,"5401, 5402",subjective,,9999
1402,E,ML,What is unsupervised learning?,"5403, 5404, 5405",subjective,class,9014
1403,E,ML,What is Ensemble Learning in Machine Learning?,"5406, 5407",subjective,"bias, prediction, reducing variance",9015
1404,M,ML,Which methods can be used for screening outliers?,5408,subjective,,9999
1405,M,ML,What is overfitting?,"5409, 5410",subjective,noise,9016
1406,H,ML,Explain in short backpropagation algorithm?,"5411, 5412",subjective,"gradient error function, artificial neural network, gradient descent",9017
1407,M,ML,What is linear regression?,"5413, 5414",subjective,"dependent, independent",9018
1408,M,ML,What is classification?,"5415, 5416, 5417",subjective,,9999
1409,H,ML,What is association in machine learning?,"5418, 5419, 5420",subjective,variables datasets,9019
1410,H,ML,What is transfer learning? ,"5421, 5422",subjective,,9999
9001,M,OOP,What is the role of compiler in an inline function?,9001,subjective,,9999
9002,M,OOP,When is the destructor called?,9002,subjective,,9999
9003,E,OOP,How can you overload a function?,9003,subjective,,9999
9004,H,OOP,How can it help access additional methods?,9004,subjective,,9999
9005,M,OOP,Which two types of objects does the self pointer differentiate between?,9005,subjective,,9999
9006,M,OOP,What does a class define?,9006,subjective,,9999
9007,H,EH,When does an exception occur?,9007,subjective,,9999
9008,M,NW,What is its use?,9008,subjective,,9999
9009,M,NW,How does encapsulation help a class?,9009,subjective,,9999
9010,M,NW,What should be the protocol parameter for this function?,9010,subjective,,9999
9011,H,NW,What does it provide access to?,9011,subjective,,9999
9012,H,DJ,What do they associates events to?,9012,subjective,,9999
9013,M,DJ,Where does a store information?,9013,subjective,,9999
9014,E,ML,What is not provided in unsupervised learning?,9014,subjective,,9999
9015,E,ML,What does ensemble learning aim at improving?,9015,subjective,,9999
9016,M,ML,An overfitted model incorporates _____ which negatively affects the model.,9016,subjective,,9999
9017,H,ML,Backpropogation algorithm caters to which particular type of supervised learning network?,9017,subjective,,9999
9018,M,ML,What are the two types of variables present in a LR model?,9018,subjective,,9999
9019,H,ML,Association in machine learning aims to find relationship between _______ and ______.,9019,subjective,,9999